step,loss,fit,kl,normW,logdetV,sigma2,rhoW,val_bound
38,-46.618860563679235,-46.78326882293157,0.14963638815483823,0.13417697176925092,-1.289332164176908,0.12246173856856804,0.08186396187140972,-43.21243649448027
39,-45.62622615078679,-45.790022799977336,0.14897298702777287,0.13728447311116498,-1.2922427787604431,0.12234553535442204,0.08371770389581382,-44.791059006887245
40,-46.3002141079651,-46.46742856249121,0.15233850966330317,0.14040280169603253,-1.2951565348401728,0.12222967019275134,0.08558247934671162,-43.087840506349444
41,-46.79551584426074,-46.93125000787444,0.12080549426143547,0.1435123110316531,-1.29807833860843,0.12211399664143748,0.0874685443744697,-43.25525155384552
42,-48.34271254878305,-48.49491816496557,0.13722402437607506,0.1465827521494716,-1.301002926526102,0.12199845998863174,0.08931338326585166,-43.77981043261261
43,-44.957475305705394,-45.14753061160178,0.17502053295240563,0.1496135845047808,-1.3039368234317361,0.12188275483325958,0.09109938802999182,-43.822129731432
44,-44.256696038264785,-44.42638571960154,0.15460102112560356,0.152680332601572,-1.306880085744683,0.12176750677143433,0.0929275622706574,-42.922158141521074
45,-45.567905449288375,-45.73693761633233,0.15388907796556117,0.15576650142753146,-1.3098264691398063,0.12165283922268882,0.09475671614394797,-43.43312797719395
46,-46.47697729510689,-46.63423590115747,0.14206042138642197,0.15889701076790116,-1.312772607092754,0.12153843439476233,0.09662814916816066,-43.00872267101453
47,-45.411238840356226,-45.57736216143635,0.150869988820984,0.1619791119163779,-1.3157159835121726,0.12142411807934161,0.09847363906354849,-45.11623812482569
48,-45.18122327733768,-45.37523720352807,0.17870506863014163,0.16504821345612664,-1.3186657418937382,0.1213100973728529,0.10029510947030688,-43.035760965671926
49,-46.95106613548148,-47.12046794443895,0.1540370933938544,0.16811568883679792,-1.3216121734695607,0.1211963726421297,0.10212188845209402,-43.437228743860196
50,-47.879882239459455,-48.02197324908005,0.12667002761967838,0.17118846868925172,-1.3245576832166397,0.12108258458523914,0.10395291329673288,-44.50998651089912
51,-48.2039894116726,-48.367051871027854,0.14758507208104882,0.1742077735059629,-1.3275137570814963,0.12096861401508013,0.10576296512113663,-42.98795701053831
52,-47.07324039828189,-47.23964739635811,0.15087273840299184,0.17724129359031188,-1.3304694052201596,0.12085442309705566,0.10757568345390665,-42.63950082515935
53,-45.92355980493054,-46.08272430893163,0.1435730787664251,0.18025770340519917,-1.333428515269468,0.12074029318878267,0.10936738743808401,-43.10278646591809
54,-44.83247736755634,-44.99194050532936,0.14381439241593147,0.18325132313429238,-1.3363835436052112,0.12062642400343039,0.11113968599648964,-43.74341092429097
55,-49.89905887726909,-50.05109736223136,0.13633214520623282,0.18623930594286875,-1.339334504704964,0.12051301753563982,0.11289978235497283,-43.925214631430585
56,-44.11925331878386,-44.2748442769778,0.13982687890944148,0.18919933880091472,-1.3422848707029789,0.12039908316077523,0.11463722391448587,-42.7955609961399
57,-48.14018370302615,-48.29669520043052,0.14068922003809098,0.19216877700955518,-1.3452376534924022,0.12028584898204525,0.11636711615801233,-43.1253588738054
58,-46.088816642373864,-46.21620005971934,0.11150313490354413,0.1950676302893829,-1.3481903089859437,0.1201724553146031,0.11805209475181112,-43.85653545011894
59,-47.147912719594615,-47.279162498123256,0.11531095449383622,0.19797692035542985,-1.351152186711969,0.12005938323172677,0.1197145893327563,-43.66514434477865
60,-48.88821296738208,-49.04067489888203,0.1364647012738665,0.20083147823821773,-1.3541106695724219,0.11994636938928915,0.12133024808462682,-44.32155704507781
61,-44.69567425659,-44.85966484965257,0.14793439276422427,0.20372709767411384,-1.3570605811335041,0.11983308544696633,0.12299059245328044,-44.11606838075937
62,-48.8102401804377,-48.94784214390492,0.121486795808782,0.20658732022777496,-1.360006165525562,0.1197203609658736,0.12461282008864945,-42.714250257533834
63,-45.55918353540679,-45.73080499446587,0.1554463981210004,0.20950038274664887,-1.36296414453128,0.11960738071262603,0.12626836406839903,-42.78149295340576
64,-47.386089590864806,-47.54026319815326,0.13793853768641978,0.2123775085493908,-1.3659283184573099,0.11949479536385846,0.12788803557062783,-42.026440259655665
65,-48.776746702637226,-48.93763129819254,0.14458942017099835,0.21522355829034606,-1.3688947295622045,0.1193822496876014,0.12947919707726463,-45.17289968475814
66,-48.260466566197884,-48.430467751109894,0.15364585300885034,0.21804100831067927,-1.3718586218211506,0.11926943857901802,0.1310461909538677,-45.19035386191619
67,-43.63941369681694,-43.808580295225156,0.1527503468884589,0.2208944488880692,-1.3748325502712566,0.11915649312314136,0.13266511078955345,-43.951008714121606
68,-45.63763223878082,-45.80133172019215,0.14722201544798652,0.22375044144561965,-1.3778014843383755,0.11904437686832403,0.1343054037836255,-45.29044945322955
69,-47.35580575552993,-47.52822046810749,0.1558756037367221,0.2266271810249393,-1.3807627600224586,0.11893262053558788,0.13593647423833446,-44.3787454178815
70,-44.95670266818995,-45.11534156276168,0.14203779582922194,0.2294894440545382,-1.3837358369502137,0.11882083169913546,0.1375284525186442,-44.06444641987142
71,-47.62935410241867,-47.813495462880894,0.16747825554448287,0.23229658850736362,-1.386725009473135,0.11870953201261827,0.13909350712921373,-43.141320403006404
72,-47.40639868204572,-47.55845486012379,0.1353305274412906,0.23512337343677245,-1.3897169228760382,0.11859813537585621,0.14067604977252063,-44.3446007572897
73,-43.39689975584394,-43.56982399223352,0.15613519043789836,0.2380072753068921,-1.3927071579403802,0.11848675419086063,0.14231333802070975,-43.65488716559925
74,-47.86483317962366,-48.016659069518965,0.13497324021452684,0.24087029163720808,-1.3957032279939532,0.11837619198788059,0.14393011248473503,-43.69894812669283
75,-44.37675110525176,-44.54955803356739,0.15589072260449244,0.2436921676522342,-1.3987008691211915,0.11826549853451652,0.14551989343162847,-44.5097551155465
76,-48.9792396722144,-49.13895237600362,0.14273359829814491,0.2464186528590891,-1.4016951305113772,0.11815535231092064,0.147055486790541,-43.89802487347641
77,-44.59963168816344,-44.764888769511,0.14821464289884545,0.2491558479520846,-1.4046912653917856,0.11804478672479259,0.14860994132848745,-46.119455862473345
78,-46.89489116533636,-47.070516800772566,0.15851978054452226,0.2518791841669688,-1.4076805322840475,0.11793474314866496,0.15014556060945186,-44.4432323165342
79,-48.34946793720562,-48.50938505795205,0.14274742624196507,0.25460242369839237,-1.410679817009719,0.11782471607258942,0.15166180529120823,-43.22516393881466
80,-48.4340985010487,-48.59402479608555,0.1426924518595156,0.2573222246294856,-1.4136825259060175,0.11771445368494314,0.1531930904203079,-43.86417107579176
81,-50.881229495615884,-51.02705299300692,0.12852550612538693,0.26000506037242405,-1.416691981818333,0.11760399154135727,0.15469017896625287,-45.510562499377315
82,-49.22323098680146,-49.38510185654232,0.1445086157164286,0.2626623689443249,-1.419708760448739,0.11749287122161134,0.15617571869758315,-44.97620760467704
83,-43.11319103431082,-43.26900417735962,0.13838610231108514,0.26533680232971774,-1.4227299478782232,0.11738150323126398,0.15766752174773027,-43.938229703589954
84,-45.19235536591821,-45.32404665231677,0.11419995364356343,0.26794592625256036,-1.4257439319244383,0.11727116761790606,0.15913015902098654,-43.46762363381389
85,-44.876939793597394,-45.03593435183253,0.14143927677876408,0.27050499430377956,-1.42875127890037,0.11716139209440245,0.16058675815661397,-43.62608186040756
86,-47.90128640291605,-48.0403060345465,0.12140038846548465,0.273030712055992,-1.4317676303720641,0.11705217328176726,0.16201322084559555,-45.043193204461964
87,-46.28591684060721,-46.46723414697398,0.16363404324473257,0.2755340605720983,-1.4347875583044147,0.11694289242632783,0.16340340558462674,-45.44329123405482
88,-47.9497942669142,-48.09822938540637,0.1306873558927442,0.2780574216510985,-1.4378074818151707,0.11683379298618014,0.16478731840936736,-44.15527007585191
89,-50.165761001161414,-50.31327432058848,0.12970124778030911,0.280534005060756,-1.440833476787747,0.11672462565918611,0.16611990820928074,-45.38177272245583
90,-46.591563470499075,-46.759588530924894,0.1501494899137194,0.2829213089086705,-1.4438552357790297,0.1166149542577437,0.16738904552527786,-43.56308680223924
91,-48.57524631488839,-48.7446003627941,0.1514150863294445,0.28527758904324446,-1.446877984955175,0.11650555123669713,0.1686491979552827,-44.02970965996703
92,-49.38888087612821,-49.54117396843384,0.13428991619886016,0.28768075883137084,-1.4499053236167014,0.11639597432354572,0.16994154340938988,-43.256803175576586
93,-49.67648664849359,-49.81974207582074,0.12518753653685724,0.29010664279033127,-1.4529326064920147,0.11628615989302687,0.17124199054519662,-44.17776956807106
94,-46.37222309432195,-46.533588553574546,0.14323211667938374,0.29257576345529507,-1.4559590240627704,0.11617607351097106,0.17256982198412768,-44.02423822982508
95,-48.289858510097524,-48.41858170514839,0.11052434104676656,0.2950293887202997,-1.4589848189805763,0.11606639109815495,0.17386861603683884,-43.36047398156613
96,-45.727012474031184,-45.89868996591146,0.15341248306274174,0.29751882048645734,-1.4620081637933935,0.11595674808025659,0.17518077329384926,-44.789965797573934
97,-42.036655978044834,-42.223595264252126,0.16860785824273616,0.3000073144751951,-1.4650332856810948,0.11584761876529465,0.17649446462763796,-44.11407772459344
98,-45.69663522531046,-45.849065751343616,0.13403298674041403,0.3024506535842431,-1.4680571435571859,0.11573967311077218,0.17779060436395355,-43.11739557078228
99,-45.82361796155366,-45.975952716817154,0.1338713606905131,0.304849510637876,-1.471084422781942,0.11563214146423083,0.17907921558599313,-44.766883017853075
100,-43.491016731355145,-43.642044748841265,0.1324977696276629,0.307302181057119,-1.4741199695703169,0.1155249682726304,0.18040552698759027,-46.03584655919648
101,-50.08034248926393,-50.23667144496408,0.13773211064415913,0.30972130810833465,-1.477148327121773,0.1154185861651269,0.1817270930153659,-43.76032876504847
102,-46.80395977136495,-46.949043979337446,0.1264204453630952,0.31213838911342595,-1.48018539849488,0.11531158092057313,0.18307285055306172,-45.97849032302009
103,-52.69089403329401,-52.83112974815713,0.12150484547838801,0.31454299571271466,-1.4832312361984847,0.11520471524665593,0.1843851433215498,-43.83886510621585
104,-48.318709364276465,-48.4590744193969,0.12156661403376802,0.3169473082625336,-1.4862961245232846,0.11509679554297723,0.18570302755174853,-44.870940011429234
105,-44.0254829173512,-44.19122868956747,0.14687998846720124,0.31931688383189594,-1.48935914311777,0.11498884308370041,0.1870147617095507,-45.70188382461316
106,-47.66442874946109,-47.8132046479535,0.12984184374749963,0.32173145932715347,-1.4924319233901764,0.11488169507084947,0.1884111111924906,-44.530134625651186
107,-49.76870110343104,-49.95562463317366,0.1679220053906838,0.3240571663093501,-1.495513872730439,0.11477459108295736,0.18980525618225288,-44.600039946312904
108,-48.54954651889524,-48.70309457581205,0.13447921386092113,0.32634789154396066,-1.4986026763759641,0.11466706483852394,0.19112700735119623,-44.60717895478656
109,-47.85730102523851,-48.00261949563617,0.1261819067546128,0.3286525326759408,-1.501691718688439,0.11455948934612309,0.19245237801238765,-44.68877161622682
110,-46.92119674465391,-47.07123350462906,0.13083262563824374,0.33093268337658904,-1.504777117402373,0.11445202598111852,0.19374728041390862,-45.36659734105191
111,-47.3516906129519,-47.515453386244154,0.14449129102715114,0.33318923818454443,-1.5078524509249802,0.11434483218424236,0.19504019219467503,-44.39926794100977
112,-47.37804226061598,-47.54393973774568,0.1465586033648972,0.3354285727943937,-1.5109331241283226,0.11423779790235443,0.19630291488276072,-45.039752824406186
113,-46.651035711672165,-46.7966899892952,0.12624746056110087,0.33768986844743415,-1.514017790602972,0.11413092038727986,0.19760797066374827,-45.40801519769474
114,-45.55463269009738,-45.73621903902492,0.1621114726193867,0.3399545601356209,-1.5170908788062243,0.11402434882754242,0.19888958860168504,-46.26724954690407
115,-48.80239788623022,-48.955041111472,0.13309922411434716,0.3422722081511425,-1.520174614821212,0.11391826726586778,0.20025974762086854,-44.299876005049214
116,-50.07484266793859,-50.22806141678886,0.13360520768255307,0.34460822063202073,-1.5232535209320908,0.11381203110365869,0.20161499919594614,-43.67667455442916
117,-46.424559981331946,-46.589119215556956,0.1448761544352981,0.34692492455565876,-1.526335905529094,0.11370540419146603,0.20298822949203796,-46.792094474863084
118,-47.211147354431084,-47.35670357494175,0.12580373357905245,0.3492191711360136,-1.5294151357543284,0.11359916062825741,0.20433577043376852,-43.481894574453605
119,-48.06456943548764,-48.21887928651003,0.13448887553835964,0.35144077446095323,-1.5324850207167784,0.11349313343273981,0.20561643452611444,-44.668925192565624
120,-46.32917451467028,-46.483203623564535,0.13414026792149158,0.3536036730272338,-1.535555240494742,0.11338714467845205,0.20684047273379236,-44.118857657336875
121,-48.11029237798251,-48.26770390512226,0.13745541330096922,0.35571966160511753,-1.5386157630366724,0.11328155500823615,0.20802726606525096,-45.274459770020464
122,-49.2859888679605,-49.44093711191406,0.1349247940601183,0.3578259737120409,-1.5416776681835147,0.11317597601829174,0.20917117224582624,-45.12857129152543
123,-50.26443803483907,-50.41618848648871,0.13165961686702515,0.3599209793897744,-1.5447419061630603,0.11307017471146949,0.21031115918171034,-44.440478622466244
124,-46.05128996034844,-46.21422112161839,0.1427726575250911,0.36202048155301897,-1.5478092368604377,0.11296399704323175,0.21146310584360312,-44.56731771038393
125,-50.39504307581504,-50.552378064946105,0.13710940047936263,0.3640696777513918,-1.5508738215886848,0.11285833860788766,0.21257961595230104,-45.47410915975773
126,-46.26386930496162,-46.41642363729457,0.13226060233426462,0.36617321989606433,-1.5539455342291628,0.11275230559344686,0.2137415009970231,-44.75868930954563
127,-46.43484149241527,-46.57386223427363,0.11865897465206864,0.36826738569780576,-1.5570050422324093,0.11264678194690551,0.21488941054525812,-44.91590102927665
128,-50.75322336375311,-50.90914788698164,0.1354950049924613,0.3703328126976177,-1.5600611451223494,0.11254171289302486,0.2160202327566587,-45.352667331509046
129,-48.920390225113664,-49.06999648155016,0.1291088563709596,0.3723867537213006,-1.563127557347265,0.11243619165486415,0.21716462200402276,-45.63534041914756
130,-48.21698106393294,-48.37343454950494,0.13588827813845888,0.3744172389306299,-1.5662023761788606,0.1123306396735016,0.21832498044220197,-43.282114568999795
131,-48.19180308350589,-48.35298427654689,0.140548703015214,0.3763977170384074,-1.5692819224551797,0.1122252087701609,0.21944325610117776,-45.82330938609098
132,-46.02633723953244,-46.171290288283274,0.12425275349858811,0.37840287414671964,-1.5723603689590226,0.11211989974146493,0.22052972954575198,-46.437299511719125
133,-50.32244175946713,-50.45588372483574,0.11267540834768894,0.38030141558859676,-1.5754316154472296,0.1120151503904026,0.2215369690870204,-46.937164370169995
134,-50.965817375811,-51.11865882626961,0.13200865470229342,0.3821869542087309,-1.5785049954091903,0.11191012756953385,0.22253533415678556,-45.49149708942292
135,-49.508106660356134,-49.6596687278304,0.13066303265562584,0.3840638724723443,-1.581577146843827,0.11180470677977744,0.22357933907296712,-45.65657589253271
136,-49.53928217059199,-49.67919029999402,0.1189421561595389,0.38597319528370494,-1.5846536148898196,0.11169921684211566,0.22467458605334356,-46.26503526110904
137,-47.4571725940004,-47.63977394723645,0.16156796380595798,0.38789550344946333,-1.5877403233653755,0.11159370904836748,0.2257654152996567,-46.96856528485986
138,-50.937880048853806,-51.05364092244908,0.09465986738518842,0.3898179326115429,-1.590830749563382,0.11148856938490169,0.226897231669886,-45.76604044282943
139,-52.47481910323692,-52.60421429087668,0.10822619705387168,0.39175471527924527,-1.593920302007592,0.11138317457910264,0.22803562425832408,-45.631749146180454
140,-48.27866255025126,-48.4418510991403,0.1419517146179638,0.3936696322994623,-1.5970137942330056,0.11127725622839692,0.2291437686768311,-47.084002271911416
141,-50.48363286505079,-50.63718749051681,0.13225076217970805,0.39551898655960915,-1.6001130611996994,0.1111716424106237,0.23022364024774153,-46.57932672941591
142,-50.6510595626874,-50.79589782758432,0.12346727337721872,0.39735680885028996,-1.603223811060176,0.11106589835277053,0.231270397191013,-43.71217284641123
143,-48.65130942861657,-48.81258960815806,0.1398421722300961,0.3991712123650169,-1.6063444587831857,0.11096004956016664,0.2323111627236694,-46.06159587828632
144,-46.124346013804846,-46.27368974420564,0.1278388811455175,0.4009707670289501,-1.6094591399384197,0.1108544625131373,0.23333688268846853,-45.66050184439033
145,-49.336679757100896,-49.49567357077824,0.13742229135862058,0.4027543204984701,-1.612570047455275,0.11074964388835587,0.23436362825788282,-47.05864121492315
146,-46.46523892478195,-46.61532421798952,0.12844630422578707,0.4045783498928152,-1.615681439749175,0.11064490814386016,0.23543449079215142,-43.83304426244586
147,-48.28857128429255,-48.4431061098921,0.13282813883202738,0.4064121926830344,-1.618787356832663,0.11054083342140138,0.23649271317403373,-46.32713222925467
148,-47.94031188887013,-48.12304556146691,0.16095939741907,0.40823316901606127,-1.6218900690418692,0.11043701776762754,0.23752861948703027,-45.884173725923525
149,-46.9854735464196,-47.141467450070735,0.13415140210036433,0.410079479743682,-1.624999687756735,0.11033347176940717,0.23859197109958036,-45.595317653563356
150,-47.814909136054965,-47.96612492005093,0.12930514648687358,0.41191775313175993,-1.6281011523168005,0.11023041580830092,0.23967920231865872,-45.056918228689995
151,-50.235196974222816,-50.363763884525554,0.10658802171398213,0.4137548559607226,-1.6312021279778186,0.11012763901706632,0.24076222058645358,-47.02542410594391
152,-47.74902112596679,-47.892272258178664,0.12120364446516302,0.41559755488369643,-1.6343124888122644,0.11002470274134622,0.2418272191202084,-45.27979989753653
153,-49.12143405342883,-49.25856499421501,0.11501607744990894,0.4173744233533696,-1.637401137478159,0.10992211050852486,0.24281754397753774,-45.759117402519166
154,-51.782740773720064,-51.93754245805484,0.13262005517123,0.4191071100380466,-1.6404897423981715,0.10981955084736175,0.243736448518671,-43.70307215742551
155,-48.62993990841347,-48.7933579917424,0.14116920893000734,0.42086141672635885,-1.643577545564711,0.10971651198249224,0.24468154282968899,-46.29588267407193
156,-47.04652369994084,-47.18989296484744,0.12105269557184532,0.4226300705193426,-1.6466717975176501,0.1096136355809285,0.24562054533997432,-44.200230197694694
157,-48.92739718159378,-49.06202661513295,0.11224489231579657,0.4244093642055955,-1.6497632749821987,0.109511260373224,0.2465438356175204,-47.05044238562257
158,-49.841147145538606,-50.02133444037547,0.15773528623647395,0.4261595464934787,-1.6528433127117768,0.1094090225622785,0.2474303770639205,-44.05232373602527
159,-50.82271108575562,-50.98115585911698,0.13592559542897337,0.4278769111430816,-1.655934465700618,0.10930667278893116,0.24831116476460047,-45.80989547209818
